organization_id,legal_name,trading_name,organization_type,headquarters_country,headquarters_city,operating_regions,robotics_segment,website,status,last_verified_date,description
ORG-019,Google DeepMind,Google DeepMind,research_lab,GB,London,Global,manipulation;mobile,https://deepmind.google,active,2026-09-18,AI research lab; developed RT-1 RT-2 and AutoRT models
ORG-020,Meta AI,Meta FAIR,research_lab,US,Menlo Park,Global,manipulation;mobile,https://ai.meta.com,active,2026-09-18,AI research lab; developed Aria egocentric data platform
ORG-021,Tesla Inc.,Tesla,robot_oem,US,Austin,North America,humanoid,https://www.tesla.com,active,2026-09-18,Developing Optimus humanoid robot; large-scale data collection
ORG-022,Unitree Robotics,Unitree,robot_oem,CN,Hangzhou,Asia;Europe,humanoid;quadruped,https://www.unitree.com,active,2026-09-18,Humanoid and quadruped robot manufacturer (G1 H1)
ORG-023,AWS Robotics,Amazon Web Services,integrator,US,Seattle,Global,warehouse;mobile,https://aws.amazon.com/robotics,active,2026-09-18,Cloud robotics platform; large warehouse robot fleet operations
ORG-024,Symbotic Inc.,Symbotic,robot_oem,US,Wilmington,North America,warehouse,https://www.symbotic.com,active,2026-09-18,Warehouse automation company; AI-driven mobile robotics
ORG-025,Rerun Inc.,Rerun,data_services_provider,US,,Global,manipulation,https://www.rerun.io,active,2026-09-18,Visualization and logging SDK for robotics and embodied AI data
ORG-026,Zhiyuan Robotics,AgiBot,robot_oem,CN,Shanghai,Asia,humanoid;manipulation,https://www.agibot.com,active,2026-09-18,Chinese humanoid robot manufacturer; created AgiBot World dataset with 1M+ trajectories; robots ordered by China Mobile for data collection
ORG-027,JD.com,JD.com,robot_oem,CN,Beijing,Asia,warehouse;logistics,https://www.jd.com,active,2026-09-18,E-commerce company planning 10 million hours of robot training data with Suqian city government
ORG-028,UBTech Robotics,UBTech,robot_oem,CN,Shenzhen,Asia,humanoid,https://www.ubtrobot.com,active,2026-09-18,Humanoid robot manufacturer; 80M USD in robot sales to data collection centers
ORG-029,China Mobile,China Mobile,public_buyer,CN,Beijing,Asia,telecommunication;robotics,https://www.chinamobile.com,active,2026-09-18,Ordered 17.6M USD worth of robots from Unitree and AgiBot for data collection
ORG-030,Apple Inc.,Apple,robot_oem,US,Cupertino,Global,manipulation;humanoid,https://www.apple.com,active,2026-09-18,Vision Pro used for EgoDex dexterous manipulation data capture; 829 hours 338000 episodes
ORG-031,Scale AI Inc.,Scale AI,data_services_provider,US,San Francisco,Global,manipulation;embodied_ai,https://www.scale.com,active,2026-09-18,Data engine for frontier AI labs; offers robotics and embodied-AI data collection and annotation programs
ORG-032,Encord Ltd.,Encord,data_services_provider,GB,London,Global,manipulation,https://encord.com,active,2026-09-18,Data annotation and curation platform for video and sensor data including robotics workloads
ORG-033,AY-Robots,AY-Robots,data_services_provider,DE,,Europe,manipulation,https://www.ay-robots.com,active,2026-09-18,On-demand robot data collection through global teleoperator network; marketplace of ready-to-train LeRobot datasets
ORG-034,Sensei,Sensei,data_services_provider,US,,North America,manipulation,https://www.ycombinator.com/companies/sensei,active,2026-09-18,YC company; robotics training data at scale; hardware platform for human-demonstration data collection at 1/10th cost
ORG-035,Lumos,Lumos,data_services_provider,KR,Seoul,Asia,manipulation,https://www.lumos-robotics.com,active,2026-09-18,Robotics data collection startup; backpack-style system for data collection in factories homes and offices
ORG-036,RCSV,RCSV,data_services_provider,US,San Jose,North America,manipulation,https://www.roboticscenter.ai,active,2026-09-18,Managed VR teleoperation data collection service; open-source teleoperation software stack; 200+ manipulation scenarios
ORG-037,Labellerr,Labellerr,data_services_provider,US,,Global,manipulation;humanoid,https://www.labellerr.com,active,2026-09-18,Full-stack annotation platform for robotics and physical AI; processes teleoperation sessions into ML-ready training data
ORG-038,Cogito Tech,Cogito Tech,data_services_provider,US,,Global,manipulation;defense;healthcare,https://www.cogitotech.com,active,2026-09-18,Expert-in-the-loop teleoperation for high-stakes robots; RoboStream platform; ISO 9001 27001 SOC 2 certified
ORG-039,Extend Robotics,Extend Robotics,data_services_provider,GB,,Europe,manipulation;humanoid,https://www.extendrobotics.com,active,2026-09-18,XR teleoperation for collaborative robot arms and humanoid platforms; AMAS system for model fine-tuning
ORG-040,Datoric,Datoric,data_services_provider,US,,Global,manipulation,https://www.datoric.com,active,2026-09-18,Robotics dataset catalog; 500 hours bimanual UMI demonstrations; annotated manipulation datasets
ORG-041,Waymo LLC,Waymo,robot_oem,US,Mountain View,North America,autonomous_vehicle;mobile,https://www.waymo.com,active,2026-09-18,Autonomous vehicle company adding in-vehicle manipulation capabilities including parcel delivery and loading assistance
ORG-042,Zoox,Zoox,robot_oem,US,Foster City,North America,autonomous_vehicle;mobile,https://www.zoox.com,active,2026-09-18,Autonomous vehicle company adding in-vehicle manipulation capabilities
ORG-043,Berkshire Grey,Berkshire Grey,robot_oem,US,Bedford,North America,warehouse,https://www.berkshiregrey.com,active,2026-09-18,Warehouse robotics company; fine-tuning manipulation models for novel SKU categories
ORG-044,OpenAI,OpenAI,foundation_model_developer,US,San Francisco,Global,manipulation;humanoid,https://openai.com,active,2026-09-18,Fine-tuning large vision-language-action models on domain-specific robot data
ORG-045,BMW Group,BMW,robot_oem,DE,Munich,Europe,manufacturing;manipulation,https://www.bmwgroup.com,active,2026-09-18,Internal hyperscale data collector with millions of demonstrations; proprietary data not available externally
ORG-046,Sereact,Sereact,foundation_model_developer,CH,Zurich,Europe,manipulation,https://www.sereact.ai,active,2026-09-18,Embodied AI company; VLA researcher; rapidly growing R&D hub in Zurich area
ORG-047,Avatar Robotics,Avatar Robotics,foundation_model_developer,US,San Francisco,North America,manipulation,https://www.avatarrobotics.ai,active,2026-09-18,Embodied AI company; machine learning engineer for robotics and embodied AI
