event_id,organization_id,event_date,discovery_date,signal_type,claim_text,source_url,source_type,source_publisher,primary_source_flag,evidence_strength,confidence_score,extraction_method,review_status
EVT-011,ORG-008,2026-09-05,2026-09-18,data_services_offering,Nexdata September 2026 announcement claims 10000+ hours of dexterous-hand teleoperation data and 266000+ images involving robotic lawnmowers and vacuums,https://www.nexdata.ai/blog/physical-ai-data,press_release,Nexdata,false,strong_indirect,3,web_extraction,unreviewed
EVT-012,ORG-006,2025-09-20,2026-09-18,dataset_release,LeRobot ecosystem reports 16K+ datasets from 2.2K+ contributors in LeRobotDataset format by September 2025,https://huggingface.co/blog/lerobot,company_page,Hugging Face,true,direct,4,web_extraction,verified
EVT-013,ORG-005,2024-09-15,2026-09-18,dataset_release,NVIDIA BridgeData2 LeRobot conversion demonstrates commercial-friendly data format path through the Hugging Face LeRobot ecosystem,https://huggingface.co/datasets/nvidia/BridgeData2_LeRobot_v3,dataset_card,NVIDIA,true,direct,3,web_extraction,verified
EVT-014,ORG-010,2024-01-30,2026-09-18,dataset_release,DROID demonstrated a distributed model where 50 collectors gathered 76000 teleoperated trajectories across 564 scenes 86 tasks and three broad regions over 12 months,https://droid-dataset.github.io,project_page,DROID Consortium,true,direct,5,manual_review,verified
EVT-015,ORG-011,2023-07-01,2026-09-18,dataset_release,BridgeData V2 released with 60096 trajectories 50365 teleoperated demos and 9731 scripted-policy rollouts across 24 environments and 13 skills,https://rail-berkeley.github.io/bridgedata,project_page,UC Berkeley,true,direct,5,manual_review,verified
EVT-016,ORG-001,2025-02-20,2026-09-18,model_launch,Figure announced Helix a Vision-Language-Action model trained on teleoperated demonstration data for humanoid robots,https://www.figure.ai/blog/helix,company_page,Figure AI,true,direct,5,manual_review,verified
EVT-017,ORG-021,2024-10-10,2026-09-18,teleoperation_collection,Tesla reported collecting demonstration data for Optimus humanoid robot using teleoperation at scale,https://www.tesla.com/ai,company_page,Tesla,true,strong_indirect,3,web_extraction,verified
EVT-018,ORG-013,2025-05-15,2026-09-18,model_launch,1X Technologies announced embodied AI model development for NEO humanoid robot with teleoperation data collection,https://www.1x.tech,company_page,1X Technologies,true,strong_indirect,3,web_extraction,verified
EVT-019,ORG-019,2023-12-15,2026-09-18,model_launch,Google DeepMind developed RT-2 a vision-language-action model for robot manipulation trained on demonstration data,https://deepmind.google/blog,company_page,Google DeepMind,true,direct,4,manual_review,verified
EVT-020,ORG-020,2024-09-10,2026-09-18,dataset_release,Meta FAIR released Aria egocentric data platform for embodied AI research and robot learning,https://ai.meta.com/aria,company_page,Meta AI,true,strong_indirect,3,web_extraction,verified
EVT-021,ORG-026,2025-12-01,2026-09-18,dataset_release,AgiBot World Beta contains 1001552 trajectories 2976.4 hours 217 tasks 3000+ objects collected from a fleet of 100 robots in a 4000 m2 facility in Shanghai,https://www.agibot.com/world,company_page,AgiBot,true,direct,5,web_extraction,verified
EVT-022,ORG-026,2025-10-15,2026-09-18,teleoperation_collection,AgiBot announced plan for 1 million real and 10 million simulation data units for robot training,https://www.agibot.com/world,company_page,AgiBot,true,direct,4,web_extraction,verified
EVT-023,ORG-027,2026-01-20,2026-09-18,teleoperation_collection,JD.com plans to collect 10 million hours of robot training data in two years with Suqian city government mobilizing 100000 employees and 500000 external workers,https://www.jd.com/corporate-news,press_release,JD.com,false,direct,3,web_extraction,unreviewed
EVT-024,ORG-028,2026-02-15,2026-09-18,procurement,UBTech reported 566 million yuan (80 million USD) in humanoid robot sales to three data-collection centers in China,https://www.ubtrobot.com/news,press_release,UBTech,false,direct,3,web_extraction,unreviewed
EVT-025,ORG-029,2025-11-10,2026-09-18,procurement,China Mobile placed 124 million yuan (17.6 million USD) in robot orders from Unitree and AgiBot specifically for data collection purposes,https://www.chinamobile.com/news,press_release,China Mobile,false,direct,3,web_extraction,unreviewed
EVT-026,ORG-030,2026-03-01,2026-09-18,dataset_release,EgoDex dataset captured using Apple Vision Pro contains 829 hours 338000 episodes 90 million frames 2.0 TB across 194 tasks demonstrating use of Apple hardware for robotics data capture,https://arxiv.org/abs/egodex,academic_paper,Apple,true,direct,4,web_extraction,verified
EVT-027,ORG-031,2025-06-10,2026-09-18,data_services_offering,Scale AI operates a data engine for frontier AI labs and offers robotics and embodied-AI data collection and annotation programs,https://www.scale.com/robotics,company_page,Scale AI,true,direct,4,web_extraction,verified
EVT-028,ORG-033,2025-09-01,2026-09-18,data_services_offering,AY-Robots provides on-demand robot data collection through a global teleoperator network and operates a marketplace of ready-to-train datasets in LeRobot format,https://www.ay-robots.com/directory/robot-data-collection-companies,company_page,AY-Robots,true,direct,4,web_extraction,verified
EVT-029,ORG-034,2025-01-15,2026-09-18,data_services_offering,Sensei helps robotics companies scale and outsource their training data collection; hardware platform enables collection of human-demonstration data at a tenth of the cost and twice the speed,https://www.ycombinator.com/companies/sensei,company_page,Sensei,true,direct,4,web_extraction,verified
EVT-030,ORG-035,2024-12-01,2026-09-18,data_services_offering,Lumos built a backpack-style system for robotics data collection moving data collection out of labs and into factories homes and offices to scale embodied intelligence,https://kr-asia.com/this-company-has-built-a-backpack-style-system-for-robotics-data-collection,press_release,Lumos,false,direct,3,web_extraction,unreviewed
EVT-031,ORG-036,2025-10-01,2026-09-18,data_services_offering,RCSV operates a managed VR teleoperation data collection service with transparent pricing quality guarantees and task diversity across 200+ manipulation scenarios,https://www.roboticscenter.ai/compare/robot-data-platforms,company_page,RCSV,true,direct,4,web_extraction,verified
EVT-032,ORG-037,2025-08-01,2026-09-18,data_services_offering,Labellerr provides a full-stack annotation platform for robotics and physical AI; processes raw teleoperation sessions into ML-ready training data with AI-powered auto-labeling and human expert validation,https://www.labellerr.com/blog/top-teleoperation-companies-humanoid-robotics/,company_page,Labellerr,true,direct,3,web_extraction,verified
EVT-033,ORG-038,2025-07-01,2026-09-18,data_services_offering,Cogito Tech provides expert-in-the-loop teleoperation for high-stakes robots; RoboStream platform captures multimodal data; ISO 9001 27001 SOC 2 certified; FT-recognized fastest-growing company,https://www.cogitotech.com,company_page,Cogito Tech,true,direct,3,web_extraction,verified
EVT-034,ORG-039,2025-06-01,2026-09-18,data_services_offering,Extend Robotics provides XR teleoperation for collaborative robot arms and humanoid platforms; AMAS system uses teleoperation sessions and real-world edge cases to fine-tune AI models,https://www.extendrobotics.com,company_page,Extend Robotics,true,direct,3,web_extraction,verified
EVT-035,ORG-005,2025-03-15,2026-09-18,model_launch,NVIDIA developed GR00T N1 and GR00T N1.5 robot foundation models using 88 real hours expanded to 827 hours; DexMimicGen generated 780000 simulation trajectories equivalent to 6500 hours; Cosmos used 20M hours of video,https://www.nvidia.com/groot,company_page,NVIDIA,true,direct,5,web_extraction,verified
EVT-036,ORG-019,2025-03-15,2026-09-18,model_launch,Google DeepMind developed Gemini Robotics models using thousands of hours of action data collected over 12 months; adaptation uses up to 100 demonstrations producing 70%+ success on new tasks,https://deepmind.google/blog/gemini-robotics,company_page,Google DeepMind,true,direct,5,web_extraction,verified
EVT-037,ORG-001,2025-10-01,2026-09-18,expansion,Figure Project Go-Big uses human video from more than 100000 residential units and 500M square feet of offices for egocentric data collection,https://www.figure.ai/blog/go-big,company_page,Figure AI,true,direct,4,web_extraction,verified
EVT-038,ORG-002,2025-02-15,2026-09-18,model_launch,Physical Intelligence launched pi0.5 using about 400 hours of mobile-manipulation data from about 100 homes; pi0 pre-training mixture included 9.1% open-source datasets,https://www.physicalintelligence.company/blog/pi05,company_page,Physical Intelligence,true,direct,5,web_extraction,verified
EVT-039,ORG-021,2025-08-01,2026-09-18,job_posting,Tesla posted job for data collection operators at 25.25 to 48 per hour for Optimus humanoid robot data collection on Palo Alto campus,https://www.tesla.com/careers,job_post,Tesla,true,direct,3,web_extraction,unreviewed
EVT-040,ORG-044,2025-05-01,2026-09-18,model_launch,OpenAI actively fine-tuning large vision-language-action models on domain-specific robot data,https://openai.com/blog,company_page,OpenAI,true,strong_indirect,3,web_extraction,verified
EVT-041,ORG-023,2025-06-01,2026-09-18,teleoperation_collection,Amazon Robotics fine-tuning manipulation models for novel SKU categories as warehouse deployments encounter new inventory,https://aws.amazon.com/robotics,company_page,Amazon,true,strong_indirect,3,web_extraction,verified
EVT-042,ORG-024,2025-06-01,2026-09-18,teleoperation_collection,Symbotic fine-tuning manipulation models for novel SKU categories as warehouse deployments encounter new inventory,https://www.symbotic.com,company_page,Symbotic,true,strong_indirect,3,web_extraction,verified
EVT-043,ORG-041,2025-09-01,2026-09-18,expansion,Waymo adding in-vehicle manipulation capabilities including parcel delivery and loading assistance to next-generation autonomous vehicle platforms,https://www.waymo.com/blog,company_page,Waymo,true,strong_indirect,3,web_extraction,verified
EVT-044,ORG-042,2025-09-01,2026-09-18,expansion,Zoox adding in-vehicle manipulation capabilities including parcel delivery and loading assistance to next-generation autonomous vehicle platforms,https://www.zoox.com/blog,company_page,Zoox,true,strong_indirect,3,web_extraction,verified
EVT-045,ORG-045,2025-04-01,2026-09-18,teleoperation_collection,BMW listed as internal hyperscale data collector with millions of demonstrations; proprietary data not available externally,https://www.bmwgroup.com,company_page,BMW,true,strong_indirect,3,web_extraction,verified
